creator_name,channel_id,channel_url,handle,creator_category,priority,notes
Financial Education,,,@FinancialEducation,stock_picker,10,"Transcript-tested creator, high recommendation density"
Meet Kevin,,,@meetkevin,stock_picker,10,"Transcript-tested creator, mixed commentary/recommendation"
Tom Nash,,,@TomNashTV,stock_picker,8,"Transcript-tested creator, stock-pick focused"
ZipTrader,,,@ZipTrader,stock_picker,8,"Transcript-tested creator, stock recommendation vids"
Stock Moe,,,@StockMoe,stock_picker,8,"Transcript-tested creator, crypto heavy, lower equity yield"
Joseph Carlson,,,@JosephCarlsonShow,stock_picker,9,"Dividend/portfolio focused, consistent format"
Everything Money,,,@EverythingMoney,stock_picker,7,"Stock analysis, valuation-focused"
Chicken Genius Singapore,,,@ChickenGeniusSingapore,stock_picker,6,"TSLA-focused, data-driven"
Dumb Money,,,@DumbMoneyLive,stock_picker,5,"Stock-pick channel, higher frequency"
New Money,,,@NewMoneyYouTube,personal_finance,4,"Personal finance and stock picks"
Minority Mindset,,,@MinorityMindset,personal_finance,3,"Financial education, occasional stock recs"
Andrei Jikh,,,@AndreiJikh,personal_finance,4,"Crypto/dividend focus, personal finance"
Graham Stephan,,,@GrahamStephan,personal_finance,5,"Real estate and stock investment advice"
The Plain Bagel,,,@ThePlainBagel,market_commentary,5,"Educational, market analysis without explicit picks"
Sasha Yanshin,,,@SashaYanshin,personal_finance,3,"Finance and life, occasional investment"
Felix & Friends,,,@FelixAndFriends,stock_picker,6,"Growth stock focused"
Kenan Grace,,,@KenanGrace,stock_picker,4,"Stock picks and market commentary"
Larry Jones,,,@LarryJones,stock_picker,4,"Market commentary, some picks"
Chris Sain,,,@ChrisSainJr,stock_picker,6,"Stock-pick focused"
Ale's World of Stocks,,,@AlesWorldOfStocks,stock_picker,5,"Stock analysis and recommendations"
HyperChange,,,@HyperChangeTV,stock_picker,4,"Tech and growth stock analysis"
Ticker Symbol: YOU,,,@TickerSymbolYOU,stock_picker,3,"Stock-pick community channel"
Best of Us Investors,,,@BestofUsInvestors,stock_picker,4,"Institutional-style stock analysis"
CNBC Television,,,@CNBCtelevision,news_commentary,2,"News-based, third-party attribution expected"
Bloomberg Television,,,@Bloomberg,news_commentary,2,"News-based, third-party attribution expected"
Yahoo Finance,,,@YahooFinance,news_commentary,2,"News-based, third-party attribution expected"
