metric,count,source_file_or_table,filter_definition,status,notes
raw_youtube_videos,11922,data/finfluencer_alpha.db:raw_youtube_videos,all rows,live_db_raw,Current RunPod DB aggregate; raw DB is not committed.
transcript_rows,9992,data/finfluencer_alpha.db:youtube_transcripts,all rows,live_db_raw,Live DB transcript rows; one row per current transcript video.
unique_transcript_videos,9992,data/finfluencer_alpha.db:youtube_transcripts,count(distinct video_id),live_db_raw,Matches transcript_rows in current DB.
successful_transcript_rows,9977,data/finfluencer_alpha.db:youtube_transcripts,status/retrieval_status available|success|ok OR nonblank full_text,live_db_filtered,Current successful retrieval count; not the locked paper count.
strict_full_text_gt_50,9972,data/finfluencer_alpha.db:youtube_transcripts,length(trim(full_text)) > 50,live_db_filtered,Current usable-text count; not the locked paper count.
language_filtered_transcripts,9106,data/finfluencer_alpha.db:youtube_transcripts,language_code starts en OR language starts English,live_db_filtered,"Closest current English-language filter found; does not reproduce 8,994."
language_filtered_strict_full_text_gt_50,9104,data/finfluencer_alpha.db:youtube_transcripts,English-language filter AND full_text > 50 chars,live_db_filtered,"Does not reproduce 8,994."
deduped_final_transcripts,8994,data/exports/final_paper_package/17_transcript_count_reconciliation.csv,committed final-package locked_database row,committed_artifact_unreconciled_with_live_db,The current DB no longer reproduces this count under inspected filters.
transcript_candidate_windows,12083,data/finfluencer_alpha.db:transcript_candidate_windows,all rows,live_db_raw,Classifier candidate windows in current DB.
accepted_candidate_windows,2341,data/finfluencer_alpha.db:transcript_candidate_windows,accepted=1 OR accepted_event_flag=1,live_db_current_accepted,Equals current transcript_recommendation_events; exceeds locked artifact panel.
raw_recommendation_events,2341,data/finfluencer_alpha.db:transcript_recommendation_events,all rows,live_db_current_accepted,Current DB accepted/extracted recommendation events; not the committed locked panel.
distinct_event_videos_live,1153,data/finfluencer_alpha.db:transcript_recommendation_events,count(distinct video_id),live_db_current_accepted,Current DB videos with at least one recommendation event.
accepted_recommendation_events,1554,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,committed locked event timeline rows,committed_locked_artifact,This is the event count used by committed final-package tables.
final_event_study_events,1554,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,one row per locked event_id,committed_locked_artifact,Canonical 5D table has n=1503; expanded 5D table has n=1536 due market-data availability/filtering.
SEC_clean_events,721,data/exports/final_paper_package/06_sec_news_overlap_flags.csv,sec_confounded_event_flag == False,committed_artifact,SEC-clean 5D event-study n=715 after market-data availability.
SEC_confounded_events,833,data/exports/final_paper_package/06_sec_news_overlap_flags.csv,sec_confounded_event_flag == True,committed_artifact,"SEC filing overlap, not a full public-news control."
free_news_clean_events,279,data/exports/final_paper_package/free_news/02_free_news_event_flags.csv,free_news_clean_flag == True,diagnostic_simulated_free_news,"267 rows have non-null 5D AR; generated by simulated GDELT fallback, not empirical GDELT evidence."
free_news_confounded_events,1275,data/exports/final_paper_package/free_news/02_free_news_event_flags.csv,free_news_confounded_flag == True,diagnostic_simulated_free_news,Includes SEC-confounded plus simulated GDELT-major flags.
free_news_unknown_events,0,data/exports/final_paper_package/free_news/02_free_news_event_flags.csv,free_news_unknown_flag == True,diagnostic_simulated_free_news,"Output marks no unknowns, but script source shows simulated fallback for all GDELT counts."
free_news_real_gdelt_queried_events,0,scripts/build_free_news_confound_layer.py,GdeltProvider.query contains only simulation fallback; no requests call remains active,source_code_audit,No empirical GDELT query is performed by the current script.
free_news_simulated_fallback_events,1554,scripts/build_free_news_confound_layer.py + free_news/02_free_news_event_flags.csv,all rows produced by simulated fallback logic,diagnostic_simulated_free_news,"Provider output labels gdelt_only, but script source indicates simulated fallback."
