metric,count,source,filter_definition,reproducibility_status,notes
live_db_transcript_rows,9992,data/finfluencer_alpha.db:youtube_transcripts,all transcript rows,reproducible_from_live_db,expanded live DB count
live_db_successful_transcripts,9977,data/finfluencer_alpha.db:youtube_transcripts,available/success/ok status or nonblank full_text,reproducible_from_live_db,expanded live DB count
live_db_text_gt_50,9972,data/finfluencer_alpha.db:youtube_transcripts,length(trim(full_text)) > 50; text not exported,reproducible_from_live_db,expanded live DB count
live_db_candidate_windows,12083,data/finfluencer_alpha.db:transcript_candidate_windows,all rows,reproducible_from_live_db,expanded live DB classifier candidates
live_db_recommendation_events,2341,data/finfluencer_alpha.db:transcript_recommendation_events,all rows,reproducible_from_live_db,expanded live DB accepted/extracted events
locked_final_transcripts,8994,data/exports/final_paper_package/17_transcript_count_reconciliation.csv,historical locked_database count,historical_artifact_not_reconstructible,no committed transcript-id manifest for these 8994 rows was found
locked_final_accepted_events,1554,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,committed locked event_id panel,reproducible_from_committed_artifact,event manifest created from this file
final_event_study_events_with_returns,1503,data/exports/final_paper_package/02_event_study_robustness_table.csv,Canonical baseline AR_0_5 n,reproducible_from_committed_aggregate,event-level canonical returns file not committed
sec_clean_events,721,data/exports/final_paper_package/06_sec_news_overlap_flags.csv,sec_confounded_event_flag == False,reproducible_from_committed_artifact,"SEC filing filter only, not full news control"
free_news_scaffold_events,1554,data/exports/final_paper_package/free_news/02_free_news_event_flags.csv,all scaffold rows,reproducible_from_committed_artifact,diagnostic scaffold
free_news_real_gdelt_events,0,scripts/build_free_news_confound_layer.py,source-code audit: no active GDELT request path,reproducible_from_source_code_audit,not empirical public-news evidence
free_news_simulated_events,1554,data/exports/final_paper_package/free_news/02_free_news_event_flags.csv + script audit,all rows generated by simulated fallback,reproducible_from_committed_artifact,free-news-clean flags=279; clean rows with 5D AR=267
